regio_level,Vuosi,aluekoodi,aluenimi,kuntanimi,kuntanro,variable,value,hyvinvointialue_code,hyvinvointialue_name_fi
Postinumeroalueet,2021-2023,p00100,Helsinki keskusta - Etu-Töölö (Helsinki),Helsinki,91,Peruskoulutuksen omaavat (med.),45.73678060634657,90,Helsingin kaupunki
Postinumeroalueet,2021-2023,p00100,Helsinki keskusta - Etu-Töölö (Helsinki),Helsinki,91,Alimpaan tuloluokkaan kuuluvat täysi-ikäiset (med.),78.66782978783944,90,Helsingin kaupunki
Postinumeroalueet,2021-2023,p00100,Helsinki keskusta - Etu-Töölö (Helsinki),Helsinki,91,Alimpaan tuloluokkaan kuuluvat taloudet (med.),68.72586371502527,90,Helsingin kaupunki
Postinumeroalueet,2021-2023,p00100,Helsinki keskusta - Etu-Töölö (Helsinki),Helsinki,91,Työttömät (med.),88.81471349534472,90,Helsingin kaupunki
Postinumeroalueet,2021-2023,p00100,Helsinki keskusta - Etu-Töölö (Helsinki),Helsinki,91,Kokonaislukema (med.),70.486296901139,90,Helsingin kaupunki
Postinumeroalueet,2021-2023,p00120,Punavuori - Bulevardi (Helsinki),Helsinki,91,Peruskoulutuksen omaavat (med.),45.93287441820267,90,Helsingin kaupunki
Postinumeroalueet,2021-2023,p00120,Punavuori - Bulevardi (Helsinki),Helsinki,91,Alimpaan tuloluokkaan kuuluvat täysi-ikäiset (med.),74.89324344691548,90,Helsingin kaupunki
Postinumeroalueet,2021-2023,p00120,Punavuori - Bulevardi (Helsinki),Helsinki,91,Alimpaan tuloluokkaan kuuluvat taloudet (med.),64.06248503999733,90,Helsingin kaupunki
Postinumeroalueet,2021-2023,p00120,Punavuori - Bulevardi (Helsinki),Helsinki,91,Työttömät (med.),92.3701017064611,90,Helsingin kaupunki
Postinumeroalueet,2021-2023,p00120,Punavuori - Bulevardi (Helsinki),Helsinki,91,Kokonaislukema (med.),69.31467615289415,90,Helsingin kaupunki
Postinumeroalueet,2021-2023,p00130,Kaartinkaupunki (Helsinki),Helsinki,91,Peruskoulutuksen omaavat (med.),48.507216680166025,90,Helsingin kaupunki
Postinumeroalueet,2021-2023,p00130,Kaartinkaupunki (Helsinki),Helsinki,91,Alimpaan tuloluokkaan kuuluvat täysi-ikäiset (med.),83.43089292434566,90,Helsingin kaupunki
Postinumeroalueet,2021-2023,p00130,Kaartinkaupunki (Helsinki),Helsinki,91,Alimpaan tuloluokkaan kuuluvat taloudet (med.),60.56725161262702,90,Helsingin kaupunki
Postinumeroalueet,2021-2023,p00130,Kaartinkaupunki (Helsinki),Helsinki,91,Työttömät (med.),66.49255299443546,90,Helsingin kaupunki
Postinumeroalueet,2021-2023,p00130,Kaartinkaupunki (Helsinki),Helsinki,91,Kokonaislukema (med.),64.74947855289354,90,Helsingin kaupunki
Postinumeroalueet,2021-2023,p00140,Kaivopuisto - Ullanlinna (Helsinki),Helsinki,91,Peruskoulutuksen omaavat (med.),44.86683346008106,90,Helsingin kaupunki
Postinumeroalueet,2021-2023,p00140,Kaivopuisto - Ullanlinna (Helsinki),Helsinki,91,Alimpaan tuloluokkaan kuuluvat täysi-ikäiset (med.),76.20655993854012,90,Helsingin kaupunki
Postinumeroalueet,2021-2023,p00140,Kaivopuisto - Ullanlinna (Helsinki),Helsinki,91,Alimpaan tuloluokkaan kuuluvat taloudet (med.),64.64334480096184,90,Helsingin kaupunki
Postinumeroalueet,2021-2023,p00140,Kaivopuisto - Ullanlinna (Helsinki),Helsinki,91,Työttömät (med.),90.26839600268156,90,Helsingin kaupunki
Postinumeroalueet,2021-2023,p00140,Kaivopuisto - Ullanlinna (Helsinki),Helsinki,91,Kokonaislukema (med.),68.99628355056615,90,Helsingin kaupunki
Postinumeroalueet,2021-2023,p00150,Punavuori - Eira - Hernesaari (Helsinki),Helsinki,91,Peruskoulutuksen omaavat (med.),49.22242574294022,90,Helsingin kaupunki
Postinumeroalueet,2021-2023,p00150,Punavuori - Eira - Hernesaari (Helsinki),Helsinki,91,Alimpaan tuloluokkaan kuuluvat täysi-ikäiset (med.),75.95088506213612,90,Helsingin kaupunki
Postinumeroalueet,2021-2023,p00150,Punavuori - Eira - Hernesaari (Helsinki),Helsinki,91,Alimpaan tuloluokkaan kuuluvat taloudet (med.),78.90930259706805,90,Helsingin kaupunki
Postinumeroalueet,2021-2023,p00150,Punavuori - Eira - Hernesaari (Helsinki),Helsinki,91,Työttömät (med.),112.58330902838696,90,Helsingin kaupunki
Postinumeroalueet,2021-2023,p00150,Punavuori - Eira - Hernesaari (Helsinki),Helsinki,91,Kokonaislukema (med.),79.16648060763283,90,Helsingin kaupunki
Postinumeroalueet,2021-2023,p00160,Katajanokka (Helsinki),Helsinki,91,Peruskoulutuksen omaavat (med.),57.024560704102946,90,Helsingin kaupunki
Postinumeroalueet,2021-2023,p00160,Katajanokka (Helsinki),Helsinki,91,Alimpaan tuloluokkaan kuuluvat täysi-ikäiset (med.),70.21534378309309,90,Helsingin kaupunki
Postinumeroalueet,2021-2023,p00160,Katajanokka (Helsinki),Helsinki,91,Alimpaan tuloluokkaan kuuluvat taloudet (med.),52.65726361184242,90,Helsingin kaupunki
Postinumeroalueet,2021-2023,p00160,Katajanokka (Helsinki),Helsinki,91,Työttömät (med.),89.37166501628157,90,Helsingin kaupunki
Postinumeroalueet,2021-2023,p00160,Katajanokka (Helsinki),Helsinki,91,Kokonaislukema (med.),67.31720827883001,90,Helsingin kaupunki
Postinumeroalueet,2021-2023,p00170,Kruununhaka (Helsinki),Helsinki,91,Peruskoulutuksen omaavat (med.),45.37330772274712,90,Helsingin kaupunki
Postinumeroalueet,2021-2023,p00170,Kruununhaka (Helsinki),Helsinki,91,Alimpaan tuloluokkaan kuuluvat täysi-ikäiset (med.),73.87603810752545,90,Helsingin kaupunki
Postinumeroalueet,2021-2023,p00170,Kruununhaka (Helsinki),Helsinki,91,Alimpaan tuloluokkaan kuuluvat taloudet (med.),62.88230778217153,90,Helsingin kaupunki
Postinumeroalueet,2021-2023,p00170,Kruununhaka (Helsinki),Helsinki,91,Työttömät (med.),84.27241442078551,90,Helsingin kaupunki
Postinumeroalueet,2021-2023,p00170,Kruununhaka (Helsinki),Helsinki,91,Kokonaislukema (med.),66.6010170083074,90,Helsingin kaupunki
Postinumeroalueet,2021-2023,p00180,Kamppi - Ruoholahti (Helsinki),Helsinki,91,Peruskoulutuksen omaavat (med.),73.42727365094571,90,Helsingin kaupunki
Postinumeroalueet,2021-2023,p00180,Kamppi - Ruoholahti (Helsinki),Helsinki,91,Alimpaan tuloluokkaan kuuluvat täysi-ikäiset (med.),86.47886310583385,90,Helsingin kaupunki
Postinumeroalueet,2021-2023,p00180,Kamppi - Ruoholahti (Helsinki),Helsinki,91,Alimpaan tuloluokkaan kuuluvat taloudet (med.),76.4309820821068,90,Helsingin kaupunki
Postinumeroalueet,2021-2023,p00180,Kamppi - Ruoholahti (Helsinki),Helsinki,91,Työttömät (med.),118.39300605047971,90,Helsingin kaupunki
Postinumeroalueet,2021-2023,p00180,Kamppi - Ruoholahti (Helsinki),Helsinki,91,Kokonaislukema (med.),88.68253122234152,90,Helsingin kaupunki
Postinumeroalueet,2021-2023,p00190,Suomenlinna (Helsinki),Helsinki,91,Peruskoulutuksen omaavat (med.),56.16587005426648,90,Helsingin kaupunki
Postinumeroalueet,2021-2023,p00190,Suomenlinna (Helsinki),Helsinki,91,Alimpaan tuloluokkaan kuuluvat täysi-ikäiset (med.),59.90841848979892,90,Helsingin kaupunki
